msg_id,t_db_ack_ms
fire_system_esp32_283069,1769703490605
fire_system_esp32_288049,1769703495592
fire_system_esp32_288079,1769703495613
fire_system_esp32_293049,1769703500584
fire_system_esp32_293079,1769703500604
fire_system_esp32_298049,1769703505591
fire_system_esp32_298079,1769703505612
fire_system_esp32_303049,1769703510588
fire_system_esp32_303079,1769703510609
fire_system_esp32_308049,1769703515584
fire_system_esp32_308079,1769703515605
fire_system_esp32_313049,1769703520578
fire_system_esp32_313079,1769703520599
fire_system_esp32_318049,1769703525579
fire_system_esp32_318079,1769703525600
fire_system_esp32_323049,1769703530586
fire_system_esp32_323079,1769703530607
fire_system_esp32_328049,1769703535591
fire_system_esp32_328079,1769703535612
fire_system_esp32_333049,1769703540579
fire_system_esp32_333079,1769703540599
fire_system_esp32_338049,1769703545625
fire_system_esp32_338079,1769703545648
fire_system_esp32_343049,1769703550579
fire_system_esp32_343079,1769703550600
fire_system_esp32_348079,1769703556831
fire_system_esp32_348049,1769703556872
fire_system_esp32_353049,1769703560584
fire_system_esp32_353079,1769703560793
fire_system_esp32_358049,1769703565589
fire_system_esp32_358079,1769703565610
fire_system_esp32_363049,1769703570595
fire_system_esp32_363079,1769703570616
fire_system_esp32_368049,1769703575581
fire_system_esp32_368079,1769703575602
fire_system_esp32_373049,1769703580585
fire_system_esp32_373079,1769703580606
fire_system_esp32_378049,1769703585577
fire_system_esp32_378079,1769703585597
fire_system_esp32_383049,1769703590580
fire_system_esp32_383079,1769703590601
fire_system_esp32_388079,1769703595634
fire_system_esp32_388059,1769703595675
fire_system_esp32_393059,1769703600592
fire_system_esp32_393079,1769703600613
fire_system_esp32_398059,1769703605589
fire_system_esp32_398079,1769703605609
fire_system_esp32_403059,1769703610593
fire_system_esp32_403079,1769703610614
fire_system_esp32_408069,1769703615603
fire_system_esp32_408079,1769703615624
fire_system_esp32_413069,1769703620599
fire_system_esp32_413089,1769703620619
fire_system_esp32_418069,1769703625604
fire_system_esp32_418089,1769703625625
fire_system_esp32_423069,1769703630600
fire_system_esp32_423089,1769703630621
fire_system_esp32_428069,1769703635605
fire_system_esp32_428089,1769703635626
fire_system_esp32_433069,1769703640600
fire_system_esp32_433089,1769703640621
fire_system_esp32_438069,1769703645604
fire_system_esp32_438089,1769703645625
fire_system_esp32_443069,1769703650603
